BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
16-150188,False,True,False,False,False,False,False,
17-161504,False,False,False,False,True,False,False,
20-110669,False,False,False,False,False,False,True,
20-107407,False,False,False,False,False,False,True,
20-109006,False,False,False,False,False,True,False,
20-111239,False,True,False,False,False,False,False,
20-112715,False,False,False,False,False,True,False,
20-112855,False,False,False,False,True,False,False,
20-113473,False,True,False,False,False,False,False,
20-113951,False,True,False,False,False,False,False,
20-114565,False,False,False,False,False,False,False,
20-115024,False,False,False,False,True,False,False,
20-115659,False,False,False,False,False,False,True,
20-116309,False,False,False,False,False,True,False,
20-118542,False,False,False,True,False,False,False,
20-118546,False,False,False,False,False,False,False,
20-118580,False,False,False,False,False,False,False,
20-119760,False,True,False,False,False,False,False,
20-120304,False,False,False,False,False,False,False,
20-120682,False,False,False,False,False,False,True,
20-120740,False,False,False,False,False,False,True,
20-121008,False,False,False,False,False,True,False,
20-121141,False,False,False,False,True,False,False,
20-121445,False,False,False,False,True,False,False,
20-121675,False,False,False,False,True,False,False,
20-122169,False,False,False,False,False,False,False,
20-122422,False,False,False,False,True,False,False,
20-123082,False,False,False,False,True,False,False,
20-124298,False,False,False,False,False,False,True,
20-124430,False,False,False,False,True,False,False,
20-125017,False,False,False,False,False,False,True,
20-125695,False,False,False,True,False,False,False,
20-125801,False,False,False,True,False,False,False,
20-125814,False,False,True,False,False,False,False,
20-126249,False,False,False,False,False,False,False,
20-127570,False,False,False,False,False,False,True,
20-127653,False,False,False,False,False,False,True,
20-127855,False,False,False,False,False,False,False,
20-128172,False,False,False,False,False,False,True,
20-128417,False,False,False,False,True,False,False,
20-128539,False,False,False,False,False,False,True,
20-128881,False,False,False,False,False,False,True,
20-129012,False,False,False,False,False,True,False,
20-129291,False,False,False,False,False,False,False,
20-129508,False,False,False,False,False,False,True,
20-129846,False,False,False,False,False,False,True,
20-129902,False,False,False,False,True,False,False,
20-129972,False,True,False,False,False,False,False,
20-130192,False,True,False,False,False,False,False,
20-130301,False,False,False,False,False,False,True,
20-130723,False,False,False,False,False,False,False,
20-130822,False,False,False,True,False,False,False,
20-131237,False,False,False,False,False,False,True,
20-131340,False,False,False,False,False,False,True,
20-131379,False,False,False,False,False,False,True,
20-131424,False,False,False,False,False,False,True,
20-131466,False,False,False,False,False,False,True,
20-131547,False,False,False,False,True,False,False,
20-131575,False,False,False,False,True,False,False,
20-131803,False,True,False,False,False,False,False,
20-132092,False,False,False,False,False,False,False,
20-132201,False,True,False,False,False,False,False,
20-132203,False,False,False,True,False,False,False,
20-132213,False,False,False,True,False,False,False,
20-132215,False,False,False,False,False,False,True,
20-132228,False,False,False,False,False,True,False,
20-132239,False,False,False,False,True,False,False,
20-132254,False,False,False,False,True,False,False,
20-132371,False,False,False,False,False,False,True,
20-132438,False,False,False,False,True,False,False,
20-132482,False,False,False,False,True,False,False,
20-132515,False,False,False,False,True,False,False,
20-132647,False,False,False,False,False,False,True,
20-132718,False,False,False,False,False,False,True,
20-132755,False,False,False,False,False,False,True,
20-132760,False,False,False,False,True,False,False,
20-132764,False,False,False,False,True,False,False,
20-132832,False,False,False,False,True,False,False,
20-132833,False,False,False,False,True,False,False,
20-132835,False,False,False,False,True,False,False,
20-132949,False,False,False,False,False,False,True,
20-132951,False,False,False,False,False,False,True,
20-133008,False,False,False,True,False,False,False,
20-133024,False,False,False,False,True,False,False,
20-133038,False,False,False,False,False,True,False,
20-133111,False,False,False,False,False,False,False,
20-133165,False,True,False,False,False,False,False,
20-133223,False,False,False,False,False,False,True,
20-133253,False,False,False,False,False,False,True,
20-133307,False,False,False,False,False,False,True,
20-133417,False,True,False,False,False,False,False,
20-133497,False,False,False,False,True,False,False,
20-133719,False,False,False,False,True,False,False,
20-133882,False,False,False,False,False,False,True,
20-133889,False,True,False,False,False,False,False,
20-133895,False,True,False,False,False,False,False,
20-133897,False,False,False,False,False,False,True,
20-133898,False,False,False,False,True,False,False,
20-133899,False,False,False,False,False,False,False,
20-133903,False,False,False,False,True,False,False,
20-133905,False,False,False,False,False,True,False,
20-133906,False,False,False,False,False,True,False,
20-133911,False,False,False,True,False,False,False,
20-133913,False,False,False,False,True,False,False,
20-133914,False,True,False,False,False,False,False,
20-133920,False,False,False,False,False,False,False,
20-133922,False,False,False,False,False,False,True,
20-133926,False,False,False,False,False,False,True,
20-133927,False,False,False,False,True,False,False,
20-133929,False,False,False,False,False,False,False,
20-133933,False,False,False,True,False,False,False,
20-133934,False,False,False,False,True,False,False,
20-133937,False,True,False,False,False,False,False,
20-133938,False,False,False,False,True,False,False,
20-133940,False,False,False,False,True,False,False,
20-109168,False,False,False,False,True,False,False,
20-133944,False,False,False,False,False,False,False,
20-133945,False,True,False,False,False,False,False,
20-133946,False,False,False,False,True,False,False,
20-133949,False,False,False,False,True,False,False,
20-133954,False,False,False,False,False,False,False,
20-133956,False,False,False,False,False,False,True,
20-133964,False,False,False,False,True,False,False,
20-133965,False,False,False,False,False,False,True,
20-133967,False,False,False,False,False,False,True,
20-133968,False,False,False,False,True,False,False,
20-133971,False,False,False,False,True,False,False,
20-133972,False,False,False,False,False,False,True,
20-134266,False,False,False,False,True,False,False,
20-133974,False,False,False,True,False,False,False,
20-133979,False,False,False,False,False,False,True,
20-133980,False,False,False,False,False,False,False,
20-133984,False,False,False,False,False,False,False,
20-133985,False,False,False,False,False,False,True,
20-133986,False,False,False,False,True,False,False,
20-133987,False,False,False,False,False,True,False,
20-133999,False,False,False,False,False,False,True,
20-134007,False,False,False,False,False,True,False,
20-134011,False,False,False,False,False,True,False,
20-134013,False,False,False,False,False,False,True,
20-134015,False,False,False,False,False,False,False,
20-134016,False,False,False,False,False,False,True,
20-134017,False,False,False,False,True,False,False,
20-134019,False,False,False,False,False,False,True,
20-134023,False,False,False,False,True,False,False,
20-134025,False,False,False,False,False,False,True,
20-134031,False,False,False,True,False,False,False,
20-134036,False,False,False,False,True,False,False,
20-134037,False,False,False,False,True,False,False,
20-134038,False,True,False,False,False,False,False,
20-134046,False,False,False,False,False,True,False,
20-134050,False,False,False,False,True,False,False,
20-134057,False,False,False,False,True,False,False,
20-134061,False,False,False,False,False,False,False,
20-134063,False,True,False,False,False,False,False,
20-134064,False,False,False,False,True,False,False,
20-134071,False,True,False,False,False,False,False,
20-134072,False,False,False,False,False,False,True,
20-134074,False,False,False,False,True,False,False,
20-134075,False,False,False,True,False,False,False,
20-134078,False,False,False,False,False,True,False,
20-134079,False,False,False,False,False,False,True,
20-134082,False,False,False,False,False,False,False,
20-134083,False,False,False,False,False,False,False,
20-134093,False,False,False,False,True,False,False,
20-134094,False,False,False,False,True,False,False,
20-134099,False,False,False,False,False,False,True,
20-134102,False,False,False,False,False,False,False,
20-134109,False,True,False,False,False,False,False,
20-134111,False,False,False,False,False,True,False,
20-134112,False,False,False,False,False,True,False,
20-134118,False,False,False,False,False,False,True,
20-134120,False,True,False,False,False,False,False,
20-134121,False,False,False,False,True,False,False,
20-134124,False,False,False,False,False,False,False,
20-134133,False,False,False,False,True,False,False,
20-134136,False,False,False,False,False,False,True,
20-134138,False,False,False,False,False,True,False,
20-134145,False,False,False,False,False,False,True,
20-134146,False,False,False,False,False,False,False,
20-134147,False,False,False,False,False,False,False,
20-134149,False,False,False,False,False,False,False,
20-134150,False,False,False,False,False,False,True,
20-134154,False,False,False,False,False,False,False,
20-134155,False,False,False,False,False,False,False,
20-134156,False,True,False,False,False,False,False,
20-134157,False,False,False,False,True,False,False,
20-134158,False,False,False,False,False,False,True,
20-134159,False,False,False,False,True,False,False,
20-134160,False,False,False,False,True,False,False,
20-134162,False,False,False,False,True,False,False,
20-134164,False,False,False,False,True,False,False,
20-134167,False,False,False,False,True,False,False,
20-134168,False,False,False,False,True,False,False,
20-134169,False,False,False,False,True,False,False,
20-134173,False,False,False,True,False,False,False,
20-134174,False,False,False,False,False,False,False,
20-134175,False,False,False,False,True,False,False,
20-134177,False,False,False,False,False,False,True,
20-134182,False,False,False,False,False,True,False,
20-134186,False,False,False,True,False,False,False,
20-134190,False,False,False,False,True,False,False,
20-134198,False,False,False,False,False,True,False,
20-134205,False,False,False,False,True,False,False,
20-134206,False,False,False,True,False,False,False,
20-134207,False,False,False,False,False,True,False,
20-134219,False,False,False,False,False,False,True,
20-134220,False,False,False,False,False,True,False,
20-134222,False,False,True,False,False,False,False,
20-134224,False,False,False,False,False,False,False,
20-134225,False,False,False,False,True,False,False,
20-134226,False,False,False,False,True,False,False,
20-134227,False,False,False,False,False,False,True,
20-134229,False,False,False,False,True,False,False,
20-134233,False,False,False,False,False,False,True,
20-134236,False,False,False,False,True,False,False,
20-134240,False,False,False,False,False,False,False,
20-134242,False,False,True,False,False,False,False,
20-134247,False,False,False,False,False,True,False,
20-134249,False,False,False,False,True,False,False,
20-134254,False,False,False,False,False,False,False,
20-134255,False,False,False,False,False,False,True,
20-134257,False,True,False,False,False,False,False,
20-134258,False,False,False,False,False,True,False,
20-134260,False,False,False,False,False,False,True,
20-134263,False,False,False,False,False,True,False,
20-134264,False,False,False,False,True,False,False,
20-134266,False,False,False,False,True,False,False,
20-134272,False,False,False,False,False,False,True,
20-134273,False,False,False,False,False,False,True,
20-133223,False,False,False,False,False,False,True,
20-134276,False,False,False,False,True,False,False,
20-134277,False,False,False,False,True,False,False,
20-134278,False,False,False,False,True,False,False,
20-134280,False,False,False,False,True,False,False,
20-134281,False,False,False,False,False,False,False,
20-134283,False,False,False,False,False,True,False,
20-116325,False,False,False,False,False,True,False,
20-134288,False,False,False,False,False,True,False,
20-134293,False,False,False,False,False,False,True,
20-134294,False,False,False,False,False,False,True,
20-134295,False,False,False,False,True,False,False,
20-134297,False,False,False,True,False,False,False,
20-134298,False,False,False,False,True,False,False,
20-134303,False,False,False,False,True,False,False,
20-134304,False,False,False,True,False,False,False,
20-134305,False,True,False,False,False,False,False,
20-134307,False,False,False,False,False,False,True,
20-134308,False,False,False,False,True,False,False,
20-134310,False,False,False,False,True,False,False,
